"","unit","airpol","geo","time","values"
"286","MIO_T","NF3_CO2E","SI",2019-01-01,NA
"287","MIO_T","NF3_CO2E","SK",2019-01-01,NA
"288","MIO_T","NF3_CO2E","UK",2019-01-01,0.00064
"289","MIO_T","PFC_CO2E","AT",2019-01-01,0.03845
"290","MIO_T","PFC_CO2E","BE",2019-01-01,0.12827
"291","MIO_T","PFC_CO2E","BG",2019-01-01,1e-05
"292","MIO_T","PFC_CO2E","CY",2019-01-01,NA
"293","MIO_T","PFC_CO2E","CZ",2019-01-01,0.00162
"294","MIO_T","PFC_CO2E","DE",2019-01-01,0.23176
"295","MIO_T","PFC_CO2E","DK",2019-01-01,0.00111
"296","MIO_T","PFC_CO2E","EE",2019-01-01,NA
"297","MIO_T","PFC_CO2E","EL",2019-01-01,0.1371
"298","MIO_T","PFC_CO2E","ES",2019-01-01,0.05288
"299","MIO_T","PFC_CO2E","EU27_2020",2019-01-01,2.52587
"300","MIO_T","PFC_CO2E","EU28",2019-01-01,2.87056
"301","MIO_T","PFC_CO2E","EU28_IS_K",2019-01-01,2.96762
"302","MIO_T","PFC_CO2E","FI",2019-01-01,0.00194
"303","MIO_T","PFC_CO2E","FR",2019-01-01,0.61976
"304","MIO_T","PFC_CO2E","HR",2019-01-01,NA
"305","MIO_T","PFC_CO2E","HU",2019-01-01,0.00275
"306","MIO_T","PFC_CO2E","IE",2019-01-01,0.06305
"307","MIO_T","PFC_CO2E","IS",2019-01-01,0.09706
"308","MIO_T","PFC_CO2E","IT",2019-01-01,1.02755
"309","MIO_T","PFC_CO2E","LT",2019-01-01,NA
"310","MIO_T","PFC_CO2E","LU",2019-01-01,NA
"311","MIO_T","PFC_CO2E","LV",2019-01-01,NA
"312","MIO_T","PFC_CO2E","MT",2019-01-01,0
"313","MIO_T","PFC_CO2E","NL",2019-01-01,0.11732
"314","MIO_T","PFC_CO2E","PL",2019-01-01,0.01076
"315","MIO_T","PFC_CO2E","PT",2019-01-01,0.02132
"316","MIO_T","PFC_CO2E","RO",2019-01-01,0.00383
"317","MIO_T","PFC_CO2E","SE",2019-01-01,0.04939
"318","MIO_T","PFC_CO2E","SI",2019-01-01,0.01181
"319","MIO_T","PFC_CO2E","SK",2019-01-01,0.00519
"320","MIO_T","PFC_CO2E","UK",2019-01-01,0.34469
"321","MIO_T","SF6_CO2E","AT",2019-01-01,0.43642
"322","MIO_T","SF6_CO2E","BE",2019-01-01,0.0881
"323","MIO_T","SF6_CO2E","BG",2019-01-01,0.01826
"324","MIO_T","SF6_CO2E","CY",2019-01-01,0.01498
"325","MIO_T","SF6_CO2E","CZ",2019-01-01,0.06793
"326","MIO_T","SF6_CO2E","DE",2019-01-01,3.91933
"327","MIO_T","SF6_CO2E","DK",2019-01-01,0.07124
"328","MIO_T","SF6_CO2E","EE",2019-01-01,0.00274
"329","MIO_T","SF6_CO2E","EL",2019-01-01,0.00492
"330","MIO_T","SF6_CO2E","ES",2019-01-01,0.22797
"331","MIO_T","SF6_CO2E","EU27_2020",2019-01-01,6.22543
"332","MIO_T","SF6_CO2E","EU28",2019-01-01,6.81481
"333","MIO_T","SF6_CO2E","EU28_IS_K",2019-01-01,6.81681
"334","MIO_T","SF6_CO2E","FI",2019-01-01,0.01821
"335","MIO_T","SF6_CO2E","FR",2019-01-01,0.3804
"336","MIO_T","SF6_CO2E","HR",2019-01-01,0.00538
"337","MIO_T","SF6_CO2E","HU",2019-01-01,0.10114
"338","MIO_T","SF6_CO2E","IE",2019-01-01,0.03357
"339","MIO_T","SF6_CO2E","IS",2019-01-01,0.00199
"340","MIO_T","SF6_CO2E","IT",2019-01-01,0.44431
"341","MIO_T","SF6_CO2E","LT",2019-01-01,0.00511
"342","MIO_T","SF6_CO2E","LU",2019-01-01,0.01043
"343","MIO_T","SF6_CO2E","LV",2019-01-01,0.01382
"344","MIO_T","SF6_CO2E","MT",2019-01-01,0.00027
"345","MIO_T","SF6_CO2E","NL",2019-01-01,0.11122
"346","MIO_T","SF6_CO2E","PL",2019-01-01,0.09075
"347","MIO_T","SF6_CO2E","PT",2019-01-01,0.02386
"348","MIO_T","SF6_CO2E","RO",2019-01-01,0.07712
"349","MIO_T","SF6_CO2E","SE",2019-01-01,0.03321
"350","MIO_T","SF6_CO2E","SI",2019-01-01,0.01587
"351","MIO_T","SF6_CO2E","SK",2019-01-01,0.00886
"352","MIO_T","SF6_CO2E","UK",2019-01-01,0.58939
"353","THS_T","CH4","AT",2019-01-01,247.79
"354","THS_T","CH4","BE",2019-01-01,290.65
"355","THS_T","CH4","BG",2019-01-01,249.84
"356","THS_T","CH4","CY",2019-01-01,35.59
"357","THS_T","CH4","CZ",2019-01-01,497.91
"358","THS_T","CH4","DE",2019-01-01,1971.01
"359","THS_T","CH4","DK",2019-01-01,286.85
"360","THS_T","CH4","EE",2019-01-01,44.61
"361","THS_T","CH4","EL",2019-01-01,400.67
"362","THS_T","CH4","ES",2019-01-01,1539.82
"363","THS_T","CH4","EU27_2020",2019-01-01,15145.65
"364","THS_T","CH4","EU28",2019-01-01,17110.54
"365","THS_T","CH4","EU28_IS_K",2019-01-01,17147.17
"366","THS_T","CH4","FI",2019-01-01,179.67
"367","THS_T","CH4","FR",2019-01-01,2239.33
"368","THS_T","CH4","HR",2019-01-01,142.29
"369","THS_T","CH4","HU",2019-01-01,329.53
"370","THS_T","CH4","IE",2019-01-01,589.25
"371","THS_T","CH4","IS",2019-01-01,22.78
"372","THS_T","CH4","IT",2019-01-01,1718.78
"373","THS_T","CH4","LT",2019-01-01,118.08
"374","THS_T","CH4","LU",2019-01-01,23.3
"375","THS_T","CH4","LV",2019-01-01,70.86
"376","THS_T","CH4","MT",2019-01-01,8.08
"377","THS_T","CH4","NL",2019-01-01,688.76
"378","THS_T","CH4","PL",2019-01-01,1811.07
"379","THS_T","CH4","PT",2019-01-01,366.93
"380","THS_T","CH4","RO",2019-01-01,917.29
"381","THS_T","CH4","SE",2019-01-01,168.57
"382","THS_T","CH4","SI",2019-01-01,76.93
"383","THS_T","CH4","SK",2019-01-01,132.19
"384","THS_T","CH4","UK",2019-01-01,1964.89
"385","THS_T","CH4_CO2E","AT",2019-01-01,6194.71
"386","THS_T","CH4_CO2E","BE",2019-01-01,7266.23
"387","THS_T","CH4_CO2E","BG",2019-01-01,6246.03
"388","THS_T","CH4_CO2E","CY",2019-01-01,889.73
"389","THS_T","CH4_CO2E","CZ",2019-01-01,12447.86
"390","THS_T","CH4_CO2E","DE",2019-01-01,49275.34
"391","THS_T","CH4_CO2E","DK",2019-01-01,7171.23
"392","THS_T","CH4_CO2E","EE",2019-01-01,1115.27
"393","THS_T","CH4_CO2E","EL",2019-01-01,10016.85
"394","THS_T","CH4_CO2E","ES",2019-01-01,38495.47
"395","THS_T","CH4_CO2E","EU27_2020",2019-01-01,378641.24
"396","THS_T","CH4_CO2E","EU28",2019-01-01,427763.59
"397","THS_T","CH4_CO2E","EU28_IS_K",2019-01-01,428679.24
"398","THS_T","CH4_CO2E","FI",2019-01-01,4491.85
"399","THS_T","CH4_CO2E","FR",2019-01-01,55983.32
"400","THS_T","CH4_CO2E","HR",2019-01-01,3557.23
